"FIPS","State","County","Pop_2015","FF_Rest_2014","FS_Rest_2014","Dir_Sales_Farms_2012","FMKT_SNAP_2016","FMKT_WIC_2016","FMKT_WICCASH_2016","FMKT_SFMNP_2016"
53001,"WA","Adams",19150,13,9,27,0,0,0,0
53003,"WA","Asotin",22089,10,15,16,0,0,0,0
53005,"WA","Benton",190337,113,127,188,2,2,0,2
53007,"WA","Chelan",75442,53,90,135,1,1,2,2
53009,"WA","Clallam",73522,39,85,112,1,2,1,2
53011,"WA","Clark",458394,243,260,410,4,3,1,4
53013,"WA","Columbia",3938,2,6,20,0,0,0,0
53015,"WA","Cowlitz",103378,61,64,124,0,0,0,0
53017,"WA","Douglas",40565,15,20,71,0,0,0,0
53019,"WA","Ferry",7584,2,5,33,0,0,0,0
53021,"WA","Franklin",88825,43,35,72,0,0,0,0
53023,"WA","Garfield",2225,0,2,9,0,0,0,0
53025,"WA","Grant",93124,57,49,118,0,1,1,1
53027,"WA","Grays Harbor",71023,41,59,100,1,1,0,1
53029,"WA","Island",80796,30,60,113,2,4,0,4
53031,"WA","Jefferson",30446,18,37,69,0,0,0,0
53033,"WA","King",2114256,1720,2301,382,32,39,4,39
53035,"WA","Kitsap",260514,159,180,163,8,7,1,6
53037,"WA","Kittitas",43057,48,45,108,0,1,0,0
53039,"WA","Klickitat",20993,9,18,129,2,2,1,1
53041,"WA","Lewis",75754,48,57,254,2,2,1,2
53043,"WA","Lincoln",10312,9,5,22,0,1,0,1
53045,"WA","Mason",61036,24,35,69,1,1,0,1
53047,"WA","Okanogan",41359,19,35,216,2,2,2,2
53049,"WA","Pacific",20888,12,33,33,0,1,1,1
53051,"WA","Pend Oreille",13066,5,13,48,0,0,0,0
53053,"WA","Pierce",842676,539,506,295,9,13,6,14
53055,"WA","San Juan",16234,15,35,90,2,2,2,2
53057,"WA","Skagit",121724,77,115,244,4,4,0,4
53059,"WA","Skamania",11309,4,9,44,1,1,1,1
53061,"WA","Snohomish",770165,533,522,267,7,8,1,8
53063,"WA","Spokane",490526,341,320,406,6,6,1,5
53065,"WA","Stevens",43800,26,28,172,2,1,1,2
53067,"WA","Thurston",269183,167,171,238,4,5,1,5
53069,"WA","Wahkiakum",4022,2,3,21,0,1,0,1
53071,"WA","Walla Walla",60149,29,44,98,1,1,1,1
53073,"WA","Whatcom",212164,124,196,302,1,1,0,1
53075,"WA","Whitman",48150,41,30,57,0,0,0,0
53077,"WA","Yakima",248115,137,127,365,1,2,1,2
