"FIPS","State","County","Pop_2015","Med_HH_Income_2015","Pov_Rate_2015","Child_Pov_Rate_2015"
10001,"DE","Kent",173533,55678,14.2,21.3
10003,"DE","New Castle",555167,66179,12.1,17.6
10005,"DE","Sussex",215376,54309,12.3,21.4
11001,"DC","District of Columbia",670377,73115,17.7,28.3
12001,"FL","Alachua",259402,47023,21.1,21.6
12003,"FL","Baker",27424,50883,16.8,24.2
12005,"FL","Bay",181947,47745,16.5,25.8
12007,"FL","Bradford",26935,40879,21.3,31
12009,"FL","Brevard",567934,50352,13.4,21.3
12011,"FL","Broward",1887281,53624,14,20.3
12013,"FL","Calhoun",14468,36062,22.2,32.8
12015,"FL","Charlotte",173194,45495,12.4,23.3
12017,"FL","Citrus",140974,39982,17.5,31.4
12019,"FL","Clay",203383,59244,11.6,15.7
12021,"FL","Collier",356570,62385,13.6,22.9
12023,"FL","Columbia",68286,43303,19.7,30.4
12027,"FL","DeSoto",35355,34380,30.5,41.3
12029,"FL","Dixie",16187,35749,29.3,38.2
12031,"FL","Duval",912081,49565,16,25.4
12033,"FL","Escambia",311236,45735,15.4,27.4
12035,"FL","Flagler",105188,50347,11.7,20.9
12037,"FL","Franklin",11749,38220,23.7,38.5
12039,"FL","Gadsden",46032,36637,24.5,38.4
12041,"FL","Gilchrist",17181,39342,19.2,29.5
12043,"FL","Glades",13607,40215,22.1,33.1
12045,"FL","Gulf",15874,41320,21.9,29.2
12047,"FL","Hamilton",14303,33497,31.8,44.6
12049,"FL","Hardee",27252,35850,25.9,36.5
12051,"FL","Hendry",38890,39320,25.8,36.4
12053,"FL","Hernando",178326,43103,14.3,24.5
12055,"FL","Highlands",99447,34691,22.9,38.1
12057,"FL","Hillsborough",1347077,51710,15.8,21.4
12059,"FL","Holmes",19329,35202,25.9,34.9
12061,"FL","Indian River",147792,49887,13,22.5
12063,"FL","Jackson",48590,36751,22.5,31.8
12065,"FL","Jefferson",14071,42210,19.4,30.9
12067,"FL","Lafayette",8628,40345,23.8,29.5
12069,"FL","Lake",325518,49711,12.8,20.9
12071,"FL","Lee",700285,50713,15.9,25.2
12073,"FL","Leon",286187,46405,21.8,22.3
12075,"FL","Levy",39688,36005,22.1,35.3
12077,"FL","Liberty",8323,39623,22.6,29.9
12079,"FL","Madison",18398,34360,27,36.9
12081,"FL","Manatee",363110,50728,14.8,24.2
12083,"FL","Marion",343514,40053,18.7,31.9
12085,"FL","Martin",155804,53459,11.2,18.1
12086,"FL","Miami-Dade",2692593,43687,20,27.3
12087,"FL","Monroe",78728,58332,11.3,18.8
12089,"FL","Nassau",78470,55707,10.8,16
12091,"FL","Okaloosa",198681,55391,11.3,18.7
12093,"FL","Okeechobee",39409,35787,23.2,34.6
12095,"FL","Orange",1284864,50593,15.6,22.6
12097,"FL","Osceola",323028,45127,18.5,27.5
12099,"FL","Palm Beach",1421843,56638,13.5,20.8
12101,"FL","Pasco",497292,46080,14.6,19.5
12103,"FL","Pinellas",948391,47591,13.6,20.6
12105,"FL","Polk",649425,44024,17.3,26.7
12107,"FL","Putnam",71910,32351,27.3,41.1
12109,"FL","St. Johns",226658,71896,9.8,10.1
12111,"FL","St. Lucie",298307,45918,16.4,25.3
12113,"FL","Santa Rosa",166850,59289,12.3,16.9
12115,"FL","Sarasota",404903,55882,9.7,17.6
12117,"FL","Seminole",448722,57357,11.5,16.1
12119,"FL","Sumter",118882,54592,10.1,30.6
12121,"FL","Suwannee",43651,37368,23.6,35.2
12123,"FL","Taylor",22471,39116,21.2,30
12125,"FL","Union",15180,41078,26.2,26.4
12127,"FL","Volusia",518190,42334,16.3,25.1
12129,"FL","Wakulla",31516,48703,16.5,21.3
12131,"FL","Walton",63459,47875,14.8,26.1
12133,"FL","Washington",24671,36328,24.8,34.2
13001,"GA","Appling",18437,39588,22.5,34.2
13003,"GA","Atkinson",8350,32398,26.9,40.5
13005,"GA","Bacon",11281,35431,23.9,36.8
13007,"GA","Baker",3160,34455,28.7,41.9
13009,"GA","Baldwin",45431,38015,26,35.5
13011,"GA","Banks",18468,44146,15.8,24.4
13013,"GA","Barrow",75107,53789,15.6,21.3
13015,"GA","Bartow",102533,50900,13.6,21.5
13017,"GA","Ben Hill",17354,30776,32.5,46.9
13019,"GA","Berrien",18966,35518,25.5,36.9
13021,"GA","Bibb",153540,38870,26.7,41.6
13023,"GA","Bleckley",12782,42716,19.3,31.7
13025,"GA","Brantley",18449,37709,21.6,34.3
13027,"GA","Brooks",15692,36820,25.4,38.9
13029,"GA","Bryan",35052,69650,13.1,16.2
13031,"GA","Bulloch",73213,36544,29.9,31.3
13033,"GA","Burke",22742,36977,25.1,37.9
13035,"GA","Butts",23548,44166,19,26.9
13037,"GA","Calhoun",6465,30972,37.5,42.4
13039,"GA","Camden",52543,52706,13.6,20.4
13043,"GA","Candler",10935,32806,28.1,43.3
13045,"GA","Carroll",114689,45453,20.4,26.4
13047,"GA","Catoosa",65897,50979,13.1,19.6
13049,"GA","Charlton",13009,37037,32.5,37.7
13051,"GA","Chatham",286622,48885,17.8,25.3
13053,"GA","Chattahoochee",11462,41066,21,24.5
13055,"GA","Chattooga",24882,38063,20.4,28.8
13057,"GA","Cherokee",235609,74885,9.4,12.3
13059,"GA","Clarke",123629,33302,38.1,41.6
13061,"GA","Clay",3080,25941,34.3,52
13063,"GA","Clayton",273567,41731,23.3,35.4
13065,"GA","Clinch",6885,31848,28.2,39.6
13067,"GA","Cobb",740144,70097,11.4,16.4
13069,"GA","Coffee",43071,34775,22.6,34
13071,"GA","Colquitt",45755,34151,24.1,35.5
13073,"GA","Columbia",144080,75232,9.3,11.3
13075,"GA","Cook",17085,34505,24.1,35.7
13077,"GA","Coweta",138278,67268,10.9,16.4
13079,"GA","Crawford",12411,43559,20.6,28.9
13081,"GA","Crisp",22850,31095,32.3,47.4
13083,"GA","Dade",16202,43632,16.2,21.8
13085,"GA","Dawson",23256,60195,12.1,18
13087,"GA","Decatur",27183,37661,27.3,39.9
13089,"GA","DeKalb",732758,53994,17.8,27.7
13091,"GA","Dodge",20863,34611,24.8,38.1
